event_id,league,start_time_local,home_team,away_team,bookmaker,market,outcome,price_decimal,model_prob,market_prob_devig,edge_pct,ev,kelly_stake
arsenal_west ham_20251004,soccer_epl,2025-10-04 10:00,arsenal,west ham,betfair_ex_uk,match_winner,away,17.50,0.3831,0.0568,573.92,5.7038,1728.41
inter milan_cremonese_20251004,soccer_italy_serie_a,2025-10-04 12:00,inter milan,cremonese,betfair_ex_eu,moneyline,away,18.00,0.3400,0.0552,516.17,5.1200,1505.88
inter milan_cremonese_20251004,soccer_italy_serie_a,2025-10-04 12:00,inter milan,cremonese,betfair_ex_eu,moneyline,away,18.00,0.3400,0.0552,516.17,5.1200,1505.88
inter milan_cremonese_20251004,soccer_italy_serie_a,2025-10-04 12:00,inter milan,cremonese,betfair_ex_eu,match_winner,away,18.00,0.3353,0.0552,507.67,5.0357,1481.08
arsenal_west ham_20251004,soccer_epl,2025-10-04 10:00,arsenal,west ham,betfair_ex_uk,moneyline,away,17.50,0.3400,0.0568,498.15,4.9500,1500.00
arsenal_west ham_20251004,soccer_epl,2025-10-04 10:00,arsenal,west ham,betfair_ex_uk,moneyline,away,17.50,0.3400,0.0568,498.15,4.9500,1500.00
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,coolbet,moneyline,away,16.00,0.3400,0.0607,459.87,4.4400,1480.00
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,coolbet,moneyline,away,16.00,0.3400,0.0607,459.87,4.4400,1480.00
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,onexbet,moneyline,away,16.00,0.3400,0.0617,451.25,4.4400,1480.00
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,onexbet,moneyline,away,16.00,0.3400,0.0617,451.25,4.4400,1480.00
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,coolbet,match_winner,away,16.00,0.3353,0.0607,452.15,4.3650,1455.01
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,onexbet,match_winner,away,16.00,0.3353,0.0617,443.66,4.3650,1455.01
bayern munich_club brugge_20251022,soccer_uefa_champs_league,2025-10-22 15:00,bayern munich,club brugge,suprabets,moneyline,away,12.00,0.3400,0.0818,315.52,3.0800,1400.00
bayern munich_club brugge_20251022,soccer_uefa_champs_league,2025-10-22 15:00,bayern munich,club brugge,suprabets,moneyline,away,12.00,0.3400,0.0818,315.52,3.0800,1400.00
chelsea_ajax_20251022,soccer_uefa_champs_league,2025-10-22 15:00,chelsea,ajax,coolbet,match_winner,away,11.00,0.3700,0.0880,320.31,3.0697,1534.86
bayern munich_club brugge_20251022,soccer_uefa_champs_league,2025-10-22 15:00,bayern munich,club brugge,suprabets,match_winner,away,12.00,0.3353,0.0818,309.79,3.0238,1374.44
chelsea_ajax_20251022,soccer_uefa_champs_league,2025-10-22 15:00,chelsea,ajax,coolbet,moneyline,away,11.00,0.3400,0.0880,286.26,2.7400,1370.00
chelsea_ajax_20251022,soccer_uefa_champs_league,2025-10-22 15:00,chelsea,ajax,coolbet,moneyline,away,11.00,0.3400,0.0880,286.26,2.7400,1370.00
paris saint germain_strasbourg_20251017,soccer_france_ligue_one,2025-10-17 14:45,paris saint germain,strasbourg,onexbet,moneyline,away,10.90,0.3400,0.0902,276.97,2.7060,1366.67
paris saint germain_strasbourg_20251017,soccer_france_ligue_one,2025-10-17 14:45,paris saint germain,strasbourg,onexbet,moneyline,away,10.90,0.3400,0.0902,276.97,2.7060,1366.67
paris saint germain_strasbourg_20251017,soccer_france_ligue_one,2025-10-17 14:45,paris saint germain,strasbourg,onexbet,match_winner,away,10.90,0.3353,0.0902,271.77,2.6549,1340.87
athletic bilbao_qarabağ fk_20251022,soccer_uefa_champs_league,2025-10-22 12:45,athletic bilbao,qarabağ fk,nordicbet,moneyline,away,10.50,0.3400,0.0906,275.34,2.5700,1352.63
athletic bilbao_qarabağ fk_20251022,soccer_uefa_champs_league,2025-10-22 12:45,athletic bilbao,qarabağ fk,nordicbet,moneyline,away,10.50,0.3400,0.0906,275.34,2.5700,1352.63
athletic bilbao_qarabağ fk_20251022,soccer_uefa_champs_league,2025-10-22 12:45,athletic bilbao,qarabağ fk,nordicbet,match_winner,away,10.50,0.3353,0.0906,270.17,2.5208,1326.74
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,tipico_de,moneyline,draw,10.50,0.3300,0.0899,267.12,2.4650,1297.37
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,tipico_de,moneyline,draw,10.50,0.3300,0.0899,267.12,2.4650,1297.37
napoli_genoa_20251005,soccer_italy_serie_a,2025-10-05 12:00,napoli,genoa,betfair_ex_uk,moneyline,away,9.80,0.3400,0.1019,233.62,2.3320,1325.00
napoli_genoa_20251005,soccer_italy_serie_a,2025-10-05 12:00,napoli,genoa,betfair_ex_uk,moneyline,away,9.80,0.3400,0.1019,233.62,2.3320,1325.00
